,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K01623,cfr:102522054,cfr,A0A8B6YJL9,target_bacteria.csv
0,K01623,cfr:102519242,cfr,A0A8B6YG65,target_bacteria.csv
0,K01623,cfr:102504579,cfr,A0A8B8RGI4,target_bacteria.csv
0,K01623,lpn:lpg0470,lpn,Q5ZYA2,target_bacteria.csv
0,K01623,rhl:LPU83_3474,rhl,W6RJQ6,target_bacteria.csv
0,K01623,rpa:TX73_004845,rpa,Q6NB88,target_bacteria.csv
0,K01623,ery:CP97_05755,ery,A0A0H4W140,target_bacteria.csv
0,K01623,ery:CP97_08255,ery,A0A0H4VC79,target_bacteria.csv
0,K01623,msm:MSMEG_3507,msm,A0QY23,target_bacteria.csv
0,K01623,mlu:Mlut_18420,mlu,C5CCX3,target_bacteria.csv
