,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K01809,cfr:102519312,cfr,A0A8B6YGY9,target_bacteria.csv
0,K01809,cin:100179626,cin,F7B5B2,target_bacteria.csv
0,K01809,cgi:CGB_H3390C,cgi,E6RAX8,target_bacteria.csv
0,K01809,cgi:CGB_I2400C,cgi,E6RC42,target_bacteria.csv
0,K01809,stt:t1335,stt,Q8Z6R4,target_bacteria.csv
0,K01809,ery:CP97_03955,ery,A0A0H4VE43,target_bacteria.csv
0,K01809,sta:STHERM_c17490,sta,E0RP21,target_bacteria.csv
0,K01809,bth:BT_0373,bth,Q8AAU1,target_bacteria.csv
0,K01809,bfr:BF1656,bfr,Q64VS2,target_bacteria.csv
0,K01809,pru:PRU_2880,pru,D5EYT6,target_bacteria.csv
0,K01809,bli:BL00290,bli,Q65IW8,target_bacteria.csv
0,K01809,bli:BL02466,bli,Q65E76,target_bacteria.csv
0,K01809,sag:SAG1688,sag,Q8DY06,target_bacteria.csv
0,K01809,lca:LSEI_0292,lca,Q03CC0,target_bacteria.csv
0,K01809,clj:CLJU_c39450,clj,D8GUU2,target_bacteria.csv
0,K01809,fpr:FP2_24170,fpr,D4K0E1,target_bacteria.csv
0,K01809,msm:MSMEG_1371,msm,A0QS69,target_bacteria.csv
0,K01809,msm:MSMEG_1836,msm,A0QTG8,target_bacteria.csv
0,K01809,sve:SVEN_2768,sve,F2R533,target_bacteria.csv
0,K01809,sve:SVEN_6893,sve,F2RJ53,target_bacteria.csv
0,K01809,mlu:Mlut_05210,mlu,C5C9A9,target_bacteria.csv
